id,originalId,name,details,reviews
57339,4de5529ad164804164861c81,Finsbury Park London Underground Station,http://tour-pedia.org/api/getPlaceDetails?id=57339,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57339
57354,4de626ca2271f377c2a29f91,Bus Stand @ QE Hospital,http://tour-pedia.org/api/getPlaceDetails?id=57354,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57354
57364,4de67088d22d7fddb9d7213f,TfL Bus 321,http://tour-pedia.org/api/getPlaceDetails?id=57364,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57364
57366,4de6760b8877a085f8c9dd35,TfL Bus 492,http://tour-pedia.org/api/getPlaceDetails?id=57366,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57366
57407,4de89f153151b2ac4e6d188b,Zipcar Wandle Rd - Croydon,http://tour-pedia.org/api/getPlaceDetails?id=57407,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57407
57417,4de9057f52b1741cdb1133c2,Bus Stop U,http://tour-pedia.org/api/getPlaceDetails?id=57417,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57417
57429,4de976047d8b6c7a53254ef6,Golden Arrow Express,http://tour-pedia.org/api/getPlaceDetails?id=57429,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57429
57430,4de9784f52b11677f0224c85,N26,http://tour-pedia.org/api/getPlaceDetails?id=57430,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57430
57443,4dea315288774880e3149bfa,TfL Bus 180,http://tour-pedia.org/api/getPlaceDetails?id=57443,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57443
57449,4dea4b55e4cdc079f47f33bb,E3,http://tour-pedia.org/api/getPlaceDetails?id=57449,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57449
57476,4deb74461f6e3ddebde629f3,Platform 3,http://tour-pedia.org/api/getPlaceDetails?id=57476,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57476
